gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
girzu,TRUE,,@1は@2〈共通属性〉@3《集合》@4〈関係〉の組［チーム］である,組、チーム,@1 is group/cluster/team showing common property (ka) @2 due to set @3 linked by relations @4.,,,,,,,-gir-   ,-gri-,「房」「コレクション」「クラス」なども。「gunma」が動作主体としての群を焦点とするのにたいして、「girzu」は関係体としての組を表す。x3は要素／成員の並列記述となる。,,,,,,,,,,,,
gismu,TRUE,,@1《文字列》は@2〈意味関係〉を@3〈項〉について表す@4〈形態素〉からなる語根である,gismu、ギスム、語根,"@1 is a (Lojban) root word expressing relation @2 among argument roles @3, with affix(es) @4.",,,,,,,-gim-   ,-gi'u-,,,,,,,,,,,,,
glare,TRUE,,@1は@2〈基準〉において熱い［暖かい、温い］,熱い、暖かい、温い,@1 is hot/[warm] by standard @2.,,,,,,,-gla-,,,,,,,,,,,,,,
gleki,TRUE,,@1は@2《こと》に関して嬉しい［幸せ、幸福、上機嫌］,嬉しい、幸せ、幸福、上機嫌,@1 is happy/merry/glad/gleeful about @2 (event/state).,,,,,,,-gek-   ,-gei-,,,,,,,,FF,こと,こと,-,-,-
gletu,TRUE,,@1は@2と性交［交尾、セックス］する,性交、交尾、セックス,@1 copulates/fucks/mates/has coitus/sexual intercourse with @2.,,,,,,,-let-   ,-gle-,比喩的に「（対称物の）合体」も。 {cpanygle}=マウンティング. ,,,,,,,,,,,,
glico,TRUE,地域,@1は@2《属性》に関して英語的［らしい、っぽい、風］；@1は@2《属性》に関して英語圏の文化［民族、国民性、地理など］を反映している、満たしている,英語、英語圏,@1 is English/pertains to English-speaking culture in aspect @2.,,,,,,,-gic-   ,-gli-,"{gligu'e}=イングランド, gligli-=ブリティッシュ・イングリッシュ系, {gliglibau}=ブリティッシュ・イングリッシュ ",,,,,,,DC,D,C,-,-,-
glife,FALSE,,"@1is a glyph, elemental symbol within an agreed set of symbols, intended to represent character x/2",,"@1 is a glyph, elemental symbol within an agreed set of symbols, intended to represent character @2",,,,,,,,,"Glyphs are used for the purposes of writing, expressing thoughts, ideas and concepts. See also {lerfu}",,,,,,,,,,,,
glosa,FALSE,,@1is a gloss (brief explanatory note or translation) of@2(text),,@1 is a gloss (brief explanatory note or translation) of @2 (text),,,,,,,,,"See also {lo} {ve} {ciksi}, {uenzi}, {traduki}",,,,,,,,,,,,
gluta,TRUE,,@1は手袋［グローブ、ミトン］である,手袋、グローブ、ミトン,@1 is a mitten/glove [hand and lower arm garment] of material @2.,,,,,,,-glu-,,,,,,,,,D,もの,-,-,-,-
gocti,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてヨクト［10⁻²⁴］個（分）の@2である,ヨクト、涅槃寂静、y、0.000000000000000000000001,@1 is 10^{-24} of @2 in dimension/aspect @3 (default is units).,,,,,,,-goc-,,,,,,,,,,,,,,
gomsi,FALSE,,@1reflects/pertains to the Mediterranean region/culture/geography/identity/[nationality] in aspect x/2,,@1 reflects/pertains to the Mediterranean region/culture/geography/identity/[nationality] in aspect @2,,,,,,,,,,,,,,,,,,,,,
gotro,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてヨタ［10²⁴］個（分）の@2である,ヨタ、𥝱、Y、1000000000000000000000000,@1 is 10^24 of @2 in dimension/aspect @3 (default is units).,,,,,,,-got-,,,,,,,,,,,,,,
gradu,TRUE,,@1〈度〉は@2〈尺度〉の@3《属性》を測る単位［グレード、レベル、ポイント］である,単位、グレード、レベル、ポイント,@1 [magnitude] is a unit/degree of/on scale/reference standard @2 (si'o) measuring property @3.,,,,,,,-rau-,,,,,,,,,,,,,,
grafu,FALSE,,@1is the graph on vertices/nodes@2(set) and edges@3(set of ordered tuples of vertices in x/2) and with additional properties x/4.,,@1 is the graph on vertices/nodes @2 (set) and edges @3 (set of ordered tuples of vertices in @2) and with additional properties @4.,,,,,,,,,"A ""web""/""network"". An element of x2 is a ""place"" in a more generic/abstract/metaphoric sense than spatial; must be discrete. Thus, webpages, family diagrams, lattices, pages in a book, cities and roadways on a map, etc. constitute graphs. x1 also includes trees. Notice that both x2 and x3 are sets; a member of x3 is an orderedmember of x3 is an ordered tuple, but the order only matters if x1 is oriented, in which case the edge connects from the first node in the tuple to the second node in the tuple (there should only be two entries in the tuple) tuple, but the order only matters if x1 is oriented, in which case the edge connects from the first node in the tuple to the second node in the tuple (there should only be two entries in the tuple). x4 can include defining features, weights, etc. Equivalent to {grafetu} (which is merely the fu'ivla form of this word); very similar to {tcana}.",,,,,,,,,,,,
grake,TRUE,単位,@1は@3〈基準〉で@2《数》グラムある,グラム、g,@1 is @2 gram(s) [metric unit] in mass (default is 1) by standard @3.,,,,,,,-gra-,,,,,,,,,,,,,,
grana,TRUE,もの、@2が素材,@1は@2〈素材〉の杖［さお、ステッキ、ロッド］である,杖、さお、ステッキ、ロッド,@1 is a rod/pole/staff/stick/cane [shape/form] of material @2.,,,,,,,-ga'a-,,,,,,,,,DD,もの,もの,-,-,-
grasu,TRUE,,@1は@2〈起源〉の油［鉱油、灯油、油脂、獣脂、グリース、オイル］である,油、鉱油、灯油、油脂、獣脂、グリース、オイル,@1 is a quantity of/is made of/contains grease/fat/oil from source @2.,,,,,,,-ras-,,,,,,,,,,,,,,
grava,FALSE,,"x1 pertains/is related to/reflects (the) gravitational interaction [fundamental]/gravity in manner/with properties/in state/with realization x2, coupling to x3 in manner/with strength x4",,"x1 pertains/is related to/reflects (the) gravitational interaction [fundamental]/gravity in manner/with properties/in state/with realization x2, coupling to x3 in manner/with strength x4",,,,,,,,,"Proposed short rafsi: -gav-. See also: {jikfi}, {dicma}, {vubla}, {tsaba}, {xigzo}, {junta}.",,,,,,,,,,,,
greku,TRUE,部位,@1は@2〈本体〉の枠［骨組、構造、フレーム］である,枠、骨組、構造、フレーム,@1 is a frame/structure/skeleton/outline supporting/load-bearing/determining the form of @2.,,,,,,,-rek-,,,,,,,,,DD,もの,もの,-,-,-
grusi,TRUE,色,@1は灰色［グレー］である,灰色、グレー,@1 is gray [color adjective].,,,,,,,-rus-,,,,,,,,skari,D,もの,-,-,-,-
grute,TRUE,生物、植物,@1は@2〈種類〉の果物である,果物,@1 is a fruit [body-part] of species @2.,,,,,,,-rut-,,,,,,,果実グルテン,2,DD,もの,もの,-,-,-
gubni,TRUE,,@1は@2《群》のあいだで共有されている；@1は公共である,共有、公共,@1 is public/un-hidden/open/jointly available to/owned by all among community @2 (mass).,,,,,,,-gub-,,,,,,,,,,,,,,
gugde,TRUE,,@1は@2〈要素・成員〉@3〈領域〉の国である,国,@1 is the country of peoples @2 with land/territory @3; (people/territory relationship).,,,,,,,-gug-   ,-gu'e-,,,,,,,,,,,,,
gugle,FALSE,,"@1searches network or collection of information/data/facts, etc. (especially the Internet) for information on topic/quote@2using service/tool/search resource/function@3provided by (host, company, etc.)@4with accessed information sources (websites, network, documents, books, etc.) x/5.@3is a search engine that provides information/resource/output on topic/query@2by way of organized and (semi-)automated/quick information search through many providers/sources of information including x/5, with search service provided by@4and provided to/used by/accessible to (potential or actual) user @1(who does not actually perform the initial search/sorting/recruiting of information).@4is a search engine service provider able to present search results via service/tool x/3. ",,"@1 searches network or collection of information/data/facts, etc. (especially the Internet) for information on topic/quote @2 using service/tool/search resource/function @3 provided by (host, company, etc.) @4 with accessed information sources (websites, network, documents, books, etc.) @5. @3 is a search engine that provides information/resource/output on topic/query @2 by way of organized and (semi-)automated/quick information search through many providers/sources of information including @5, with search service provided by @4 and provided to/used by/accessible to (potential or actual) user @1 (who does not actually perform the initial search/sorting/recruiting of information). @4 is a search engine service provider able to present search results via service/tool @3. ",,,,,,,,,"Key word search, academic search, picture search, video search, map search, etc. can be expressed by x3; the algorithm and other means of searching through, organizing and ranking, and presenting the massive amount of information (provided by x5) may likewise be expressed by x3 (in brief). The creation and/or use of this word does not endorse Google or any other search engine service provider. Proposed short rafsi form: –gul–. See also: {valfa}",,,,,,,,,,,,
gumri,FALSE,生物、植物,@1は@2〈種類〉のキノコである；@1はキノコ形である,キノコ,@1 is a mushroom of species @2.,,,,,,,,,,,,,,,2,DD,もの,もの,-,-,-
gundi,TRUE,,@1は@2（生産物）・@3〈方法〉の工業［製造業］である,工業、製造業,@1 is industry/industrial/systematic manufacturing activity producing @2 by process/means @3.,,,,,,,-gud-,,,,,,,,,,,,,,
gunka,TRUE,,@1は@2《動作・行動》を@3〈目的・目標〉のために働く、労働［勤務］する；@1は労働者である,働く、労働、勤務,@1 [person] labors/works on/at @2 [activity] with goal/objective @3.,労働者,,,,,,-gun-   ,-gu'a-,,,,,,,,,,,,,
gunma,TRUE,,@1《群》は@2〈要素〉からなる群［団］,群、団,"@1 is a mass/team/aggregate/whole, together composed of components @2, considered jointly.",,,,,,,-gum-,,行為や動作について共同的となっているまとまり。 ,,,,,,,,,,,,
gunro,TRUE,,@1は@2〈表面〉@3〈回転軸〉を転がる,転がる,@1 rolls/trundles on/against surface @2 rotating on axis/axle @3; @1 is a roller.,,,,,,,-gur-   ,-gu'o-,,,,,,,,,,,,,
gunse,TRUE,生物、動物,@1は@2〈種類〉のカモ科の動物,カモ、ハクチョウ、ガン,@1 is a goose/[gander] of species/breed @2.,,,,,,,,,,,,,,,,,,,,,
gunta,TRUE,,@1は@2を@3〈目的〉のために攻撃［侵攻］する,攻撃、進行,@1 (person/mass) attacks/invades/commits aggression upon victim @2 with goal/objective @3.,,,,,,,-gut-,,,,,,,,,,,,,,
gurni,TRUE,生物、植物,@1は@2〈種類〉の穀粒［穀物］である,穀粒、穀物,@1 is grain/[British: corn]/cereal from plant/species @2.,,,,,,,-gru-,,,,,,,,2,DD,もの,もの,-,-,-
guska,TRUE,,@1は@2を@3から削る［こすり落とす、すりむく］；@1は@2を侵食する；@2は腐食［摩滅］する,削る、こすり落とす、すりむく、擦りむく、擦り剥く、擦り剝く、腐食、摩滅,@1 blade/scraper/erosive scrapes/erodes/abrades @2 from @3.,,,,,,,-guk-,,,,,,,,,,,,,,
gusni,TRUE,,@1〈エネルギー〉は@2〈対象〉を@3〈光源〉に基づいて照らす；@3は@2を@1で照らす,照らす、光,@1 [energy] is light/illumination illuminating @2 from light source @3.,,,光源,,,,-gus-   ,-gu'i-,x3は「ランプ」「太陽」など。 ,,,,,,,,,,,,
gusta,TRUE,,@1は@2〈飲食物〉を@3〈客〉に提供する飲食店［レストラン、カフェテリア］である,飲食店、レストラン、カフェテリア、食堂,@1 is a restaurant/cafe/diner serving type-of-food @2 to audience @3.,,,,,,,,,,,,,,,,,,,,,
gutci,TRUE,単位,@1はの@4〈規格圏〉で@2《数》尺［フィート］（非メートル法・土着的な距離単位のうち短いもの）と@3を下位単位とする分ある,尺、フィート,"@1 is @2 (default 1) short local distance unit(s) [non-metric], standard @3, @4 subunits.",,,,,,,-guc-,,,,,,,,,,,,,,
gutra,TRUE,身体、部位,@1は@2〈本体〉の子宮である,子宮,"@1 is a/the womb/uterus [body-part] of @2; [metaphor: nourishing, protective, giving birth].",,,,,,,,,,,,,,,,DD,もの,もの,-,-,-
guzme,TRUE,生物、植物,@1は@2〈種類〉のウリ科の植物である,ウリ科、ウリ、カボチャ、メロン、ズッキーニ,@1 is a melon/squash [fruit/plant] of species/strain @2.,,,,,,,-guz-   ,-zme-,,,,,,グズグズメロン,,,,,,,
jabre,TRUE,,@1は@2《動作》を@3〈仕組〉によって抑える制動装置［ブレーキ、歯止め］である,ブレーキ、歯止め、制動装置,@1 brakes/causes to slow motion/activity @2 with device/mechanism/principle @3.,,,,,,,,,,,,,,,,,,,,,
jadni,TRUE,,@1《もの》は@2を装飾する；@1は@2の飾りである,装飾、飾り,@1 (object) adorns/decorates @2; @1 is an adornment/decoration of @2; @2 is fancy/decorated.,,,,,,,-jad-   ,-ja'i-,,,,,,,,,,,,,
jakne,TRUE,,@1は@2〈原動力〉@3〈乗員・荷〉のロケット［シャトル］である,ロケット、シャトル,@1 is a rocket [vehicle] propelled by jet expelling @2 carrying payload @3.,,,,,,,,,「スペースシャトル」も。 ,,,,,,,,,,,,
jalge,TRUE,,@1《こと》は@2《こと》の結果［結末］； @2は@1に終結する,結果、結末、終結,@1 (action/event/state) is a result/outcome/conclusion of antecedent @2 (event/state/process).,,,,,,,-jag-   ,-ja'e-,,,,,,,,,,,,,
jalna,TRUE,,@1は@2〈資源〉@3〈成分〉のデンプンである,デンプン、でん粉、澱粉,@1 is a quantity of/contains/is made of starch from source @2 of composition including @3.,,,,,,,,,,,,,,,,,,,,,
jalra,TRUE,生物、動物,@1は@2〈種類〉のバッタ目の昆虫である,バッタ,@1 is a cockroach/orthopteran/termite of order/species/breed @2.,,,,,,,,,バッタ目に属する具体的な種としてはバッタ、キリギリス、コオロギ、ケラ、カマドウマ、カマキリ、ナナフシ、ゴキブリ、ガロアムシ、イナゴ、スズムシなどがあります。,,,バッタ目に属する科は、バッタ科（Acrididae）、イナゴ科（Catantopidae）、コオロギ科（Gryllidae）、ケラ科（Gryllotalpidae）、カマドウマ科（Rhaphidophoridae）、コロギス科（Gryllacrididae）、キリギリス科（Tettigoniidae）などがあります。,,,2,DD,もの,もの,-,-,-
jamfu,TRUE,身体、部位,@1は@2〈本体〉の足である,足,@1 is a/the foot [body-part] of @2; [metaphor: lowest portion] (adjective:) @1 is pedal.,,,,,,,-jaf-   ,-jma-,足首から下の部分を表します。股間から足首までの腿と脛の部分なら{tuple}（脚）で表します。,,,,,ジャム踏んだ足,,DD,もの,もの,-,-,-
jamna,TRUE,,@1《群》と@2《群》は@3〈題目〉に関して戦争［紛争］する,戦争、紛争,@1 (person/mass) wars against @2 over territory/matter @3; @1 is at war with @2.,,,,,,,-jam-,,,,,,,,,,,,,,
janbe,TRUE,,@1は@2（音）を奏でる鐘［鈴、ベル、チャイム］である,鐘、鈴、ベル、チャイム,@1 is a bell/chime/[tuning fork] [tuned percussion instrument] producing sound/note @2.,,,,,,,-jab-,,,,,,,,,,,,,,
janco,TRUE,身体、部位,@1は@2〈本体〉の@3〈肢〉を繋ぐ肩［骨盤］である,肩、骨盤,@1 is a/the shoulder/hip/joint [body-part] attaching limb/extremity @2 to body @3.,,,,,,,-jan-,,,,,,,,,DD,もの,もの,-,-,-
janli,TRUE,,@1は@2に衝突［激突］する、ぶつかる,衝突、激突、ぶつかる,@1 collides with/crashes/bumps/runs into @2.,,,,,,,-jal-,,,,,,,,,,,,,,
jansu,TRUE,,@1は@2〈政体〉@3〈交渉・談判〉@4〈役割・目的〉の外交官［大使、公使、領事］である,外交官、大使、公使、領事,@1 is a diplomat/consul representing polity @2 in/at negotiation @3 for function/purpose @4.,,,,,,,-jas-,,,,,,,,,,,,,,
janta,TRUE,,@1は@2〈奉仕・サービス〉に関する@3〈者〉宛ての@4〈者〉からの請求（書）［納品書］である,請求、請求書、納品書,"@1 is an account/bill/invoice for goods/services @2, billed to @3 by @4.",,,,,,,-jat-,,,,,,,請求じゃんただの,,,,,,,
jarbu,TRUE,,@1は@2〈都市〉の郊外［都市近郊］である,郊外、都市近郊,@1 is a suburban area of city/metropolis @2.,,,,,,,,,,,,,,,,,,,,,
jarco,TRUE,,@1は@2《属性》を@3〈者〉に見せる、［表示、展示］する,見せる、表示、展示,@1 (agent) shows/exhibits/displays/[reveals]/demonstrates @2 (property) to audience @3.,,,,,,,-ja'o-,,,,,,,,,,,,,,
